2026-03-17 10:29:23 | INFO | __main__ | Starting reporting pipeline
2026-03-17 10:29:23 | INFO | __main__ | Created report: reports/reconciliation_mismatches.csv
2026-03-17 10:29:23 | INFO | __main__ | Created report: reports/account_reconciliation_summary.csv
2026-03-17 10:29:23 | INFO | __main__ | Created report: reports/portfolio_exposure_report.csv
2026-03-17 10:29:23 | INFO | __main__ | Created report: reports/account_total_value_report.csv
2026-03-17 10:29:23 | INFO | __main__ | Created report: reports/pipeline_summary_report.csv
2026-03-17 10:29:23 | INFO | __main__ | Reporting pipeline completed successfully
2026-03-17 10:34:08 | INFO | __main__ | Starting reporting pipeline
2026-03-17 10:34:08 | INFO | __main__ | Created report: reports/reconciliation_mismatches.csv
2026-03-17 10:34:08 | INFO | __main__ | Created report: reports/account_reconciliation_summary.csv
2026-03-17 10:34:08 | INFO | __main__ | Created report: reports/portfolio_exposure_report.csv
2026-03-17 10:34:08 | INFO | __main__ | Created report: reports/account_total_value_report.csv
2026-03-17 10:34:08 | INFO | __main__ | Created report: reports/pipeline_summary_report.csv
2026-03-17 10:34:08 | INFO | __main__ | Reporting pipeline completed successfully
2026-03-17 10:39:11 | INFO | __main__ | Starting reporting pipeline
2026-03-17 10:39:11 | INFO | __main__ | Created report: reports/reconciliation_mismatches.csv
2026-03-17 10:39:11 | INFO | __main__ | Created report: reports/account_reconciliation_summary.csv
2026-03-17 10:39:11 | INFO | __main__ | Created report: reports/portfolio_exposure_report.csv
2026-03-17 10:39:11 | INFO | __main__ | Created report: reports/account_total_value_report.csv
2026-03-17 10:39:11 | INFO | __main__ | Created report: reports/pipeline_summary_report.csv
2026-03-17 10:39:11 | INFO | __main__ | Reporting pipeline completed successfully
2026-03-17 10:40:24 | INFO | __main__ | Starting reporting pipeline
2026-03-17 10:40:24 | INFO | __main__ | Created report: reports/reconciliation_mismatches.csv
2026-03-17 10:40:24 | INFO | __main__ | Created report: reports/account_reconciliation_summary.csv
2026-03-17 10:40:24 | INFO | __main__ | Created report: reports/portfolio_exposure_report.csv
2026-03-17 10:40:24 | INFO | __main__ | Created report: reports/account_total_value_report.csv
2026-03-17 10:40:24 | INFO | __main__ | Created report: reports/pipeline_summary_report.csv
2026-03-17 10:40:24 | INFO | __main__ | Reporting pipeline completed successfully
